label,text
Flight.,i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible
Airfare.,i want a one way ticket from dallas to baltimore
Flight.,find me the latest flight leaving atlanta august seventh and arriving in denver
Airfare.,what 's the lowest one way fare from pittsburgh to denver
Flight.,show me flights from los angeles to pittsburgh on monday evening
Flight.,show me the flights from san francisco to washington dc
Flight.,show me flights from pittsburgh to philadelphia
Flight.,show me the shortest flight from boston to denver which arrives in denver wednesday before noon
Flight.,what are the flights from orlando to kansas city
Flight.,show me flights from san francisco to boston on thursday
Flight.,sunday flights from new york city to las vegas
Flight.,i need a flight from pittsburgh to new york leaving at 5 pm
Aircraft.,what 's the smallest plane that flies from pittsburgh to baltimore on eight sixteen
Flight.,give me the flights on december twenty seventh with the fares from indianapolis to orlando
Flight.,show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon
Flight.,i want a cheap from denver to atlanta
Flight.,show all flights from miami to jfk
Flight.,show me all flights from san francisco to pittsburgh on a monday
Flight.,show me the earliest flight from boston to denver
Flight.,i need a united airlines flight from denver to baltimore on saturday
Flight.,what are the cheapest one way flights from denver to atlanta
Flight.,all flights from boston to washington dc after 5 pm on november eleventh economy class
Ground Service.,is there ground transportation in oakland
Flight.,list united flights from denver to san francisco on wednesdays
Flight.,what is the cheapest way to fly from denver to oakland
Flight.,philadelphia to san francisco with one stop in dallas please
Flight.,i would like to fly us air from orlando to cleveland in the late evening what do you have available
Abbreviation.,what does restriction ap 57 mean
Flight.,what are the latest flights that i can take from baltimore to boston
Flight.,list flights from philadelphia to san francisco via dallas
Airfare.,how much does the american airlines flight 71 from dallas to san francisco cost
Flight.,all flights from boston to philadelphia which show up on tuesday afternoon
Flight.,show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars
Flight.,nonstop flights from seattle to denver
Flight+airfare.,give me the flights and fares on december twenty seventh from indianapolis to orlando
Flight.,what flights are available wednesday afternoon from denver to san francisco
Flight.,what are the flights from tacoma to san jose also on tuesday the eighteenth of may
Ground Service.,what 's the ground transportation like at pittsburgh
Flight.,list daily flights from boston to oakland using united airlines
Flight.,in the next two days i want to fly from nashville to san jose or to tacoma
Quantity.,how many flights does each airline have with business class service
Flight.,what flights from st. paul to kansas city on friday with supper served
Flight.,show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth
Flight.,what are the flights available between 10 am and 3 pm between pittsburgh and fort worth
Flight.,list all flights from memphis to seattle
Airline.,airline code as
Flight.,show me the flights from san francisco to boston
Flight.,show me all flights from san diego to phoenix on a boeing 737
Flight.,may i have a list of flights going from boston to denver on the twenty ninth of july
Airfare.,could you tell me the cheapest fare from atlanta to boston on thirty first of august
Flight.,which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia
Flight.,what are the latest flights from boston to dallas on the evening of july seventh
Flight.,can you tell me how to get from the airport in philadelphia to downtown
Abbreviation.,what is bna
Flight.,now show me the flights from denver to atlanta
Airfare.,what is the cost of flight dl 106 from philadelphia to boston
Flight.,what stops does dl 838 make from san francisco to atlanta
Flight.,what are the cheapest round trip flights from denver to atlanta
Flight.,what are the flights from atlanta to dallas
Flight.,delta flights to san francisco please
Flight.,i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal
Ground Fare.,what are the costs of car rental in dallas
Airline.,what airlines fly from boston to pittsburgh
Flight.,can you tell me which flights go from memphis to tacoma and make a stop in los angeles
Airfare.,what is the cheapest round trip fare between boston and san francisco
Ground Service.,show me ground transportation information for pittsburgh
Flight+airfare.,all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars
Airfare.,what is the fare from boston to oakland on united airlines
Flight.,show me the latest flight from salt lake city to phoenix
Flight.,show me all the eastern airlines flights leaving pittsburgh between 12 and 4 in the afternoon
Flight.,show me flights from denver to philadelphia
Flight.,flights from newark to boston
Flight.,what is the first flight from atlanta to boston leaving on thursday september fifth
Flight.,all united airlines flights with stopovers in denver
Flight.,show flights from boston to denver on wednesday morning
Flight.,show me all the twa flights from indianapolis to houston that arrive around 11 am
